1,bulbasaur,1,7,69,64,1,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/1.png,grass,poison,0
2,ivysaur,2,10,130,142,2,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/2.png,grass,poison,0
3,venusaur,3,20,1000,263,3,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/3.png,grass,poison,0
4,charmander,4,6,85,62,5,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/4.png,fire,,0
5,charmeleon,5,11,190,142,6,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/5.png,fire,,0
6,charizard,6,17,905,267,7,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/6.png,fire,flying,0
7,squirtle,7,5,90,63,10,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/7.png,water,,0
8,wartortle,8,10,225,142,11,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/8.png,water,,0
9,blastoise,9,16,855,265,12,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/9.png,water,,0
10,caterpie,10,3,29,39,14,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/10.png,bug,,0
11,metapod,11,7,99,72,15,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/11.png,bug,,0
12,butterfree,12,11,320,198,16,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/12.png,bug,flying,0
13,weedle,13,3,32,39,17,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/13.png,bug,poison,0
14,kakuna,14,6,100,72,18,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/14.png,bug,poison,0
15,beedrill,15,10,295,178,19,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/15.png,bug,poison,0
16,pidgey,16,3,18,50,21,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/16.png,normal,flying,0
17,pidgeotto,17,11,300,122,22,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/17.png,normal,flying,0
18,pidgeot,18,15,395,216,23,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/18.png,normal,flying,0
19,rattata,19,3,35,51,25,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/19.png,normal,dark,0
20,raticate,20,7,185,145,27,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/20.png,normal,dark,0
21,spearow,21,3,20,52,30,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/21.png,normal,flying,0
22,fearow,22,12,380,155,31,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/22.png,normal,flying,0
23,ekans,23,20,69,58,32,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/23.png,poison,,0
24,arbok,24,35,650,157,33,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/24.png,poison,,0
25,pikachu,25,4,60,112,35,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/25.png,electric,,0
26,raichu,26,8,300,243,51,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/26.png,electric,electric,0
27,sandshrew,27,6,120,60,53,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/27.png,ground,ice,0
28,sandslash,28,10,295,158,55,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/28.png,ground,ice,0
29,nidoran-f,29,4,70,55,57,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/29.png,poison,,0
30,nidorina,30,8,200,128,58,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/30.png,poison,,0
31,nidoqueen,31,13,600,253,59,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/31.png,poison,ground,0
32,nidoran-m,32,5,90,55,60,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/32.png,poison,,0
33,nidorino,33,9,195,128,61,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/33.png,poison,,0
34,nidoking,34,14,620,253,62,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/34.png,poison,ground,0
35,clefairy,35,6,75,113,64,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/35.png,fairy,,0
36,clefable,36,13,400,242,65,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/36.png,fairy,,0
37,vulpix,37,6,99,60,66,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/37.png,fire,ice,0
38,ninetales,38,11,199,177,68,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/38.png,fire,ice,0
39,jigglypuff,39,5,55,95,71,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/39.png,normal,fairy,0
40,wigglytuff,40,10,120,218,72,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/40.png,normal,fairy,0
41,zubat,41,8,75,49,73,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/41.png,poison,flying,0
42,golbat,42,16,550,159,74,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/42.png,poison,flying,0
43,oddish,43,5,54,64,76,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/43.png,grass,poison,0
44,gloom,44,8,86,138,77,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/44.png,grass,poison,0
45,vileplume,45,12,186,245,78,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/45.png,grass,poison,0
46,paras,46,3,54,57,80,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/46.png,bug,grass,0
47,parasect,47,10,295,142,81,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/47.png,bug,grass,0
48,venonat,48,10,300,61,82,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/48.png,bug,poison,0
49,venomoth,49,15,125,158,83,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/49.png,bug,poison,0
50,diglett,50,2,8,53,84,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/50.png,ground,ground,0
51,dugtrio,51,7,333,149,86,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/51.png,ground,ground,0
52,meowth,52,4,42,58,88,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/52.png,normal,dark,0
53,persian,53,10,320,154,91,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/53.png,normal,dark,0
54,psyduck,54,8,196,64,93,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/54.png,water,,0
55,golduck,55,17,766,175,94,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/55.png,water,,0
56,mankey,56,5,280,61,95,1,https://raw.githubusercontent.com/sindrimt/sprites/master/sprites/pokemon/56.png,fighting,,0
